AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
72,12.91767804,930.0728191,Premium,Mailed check,Yes,Both,No,TV,11.87825385,25.0954653,2,Sci-Fi,2.208805213,9,Male,18,Yes,Yes,LH1SXNI603,1
115,15.75634084,1811.979197,Standard,Mailed check,Yes,Both,No,Computer,29.94365051,30.03266043,16,Action,2.96165443,5,Male,22,No,No,EITN9OMOE3,0
47,11.59469037,544.9504475,Premium,Electronic check,Yes,Both,Yes,Computer,9.205269239,69.13320846,8,Action,1.994151711,5,Female,8,No,Yes,BTWS756LAP,0
54,7.5730911,408.9469194,Standard,Credit card,Yes,TV Shows,No,Tablet,9.831903592,112.5373549,35,Comedy,1.844596998,5,Male,19,Yes,No,O42NFFANHQ,0
116,11.60058554,1345.667923,Standard,Credit card,Yes,Both,Yes,Tablet,28.38312025,55.49595383,44,Comedy,4.276503525,9,Male,14,No,No,SZQC8HDIR1,0
111,15.78139524,1751.734872,Basic,Mailed check,No,Both,Yes,Tablet,13.06934261,99.40418326,2,Drama,3.354301131,1,Female,23,Yes,No,QUZ7YJ23MF,0
58,15.25459616,884.7665775,Standard,Electronic check,Yes,Movies,No,Tablet,32.1133322,132.6206373,44,Drama,4.242096967,7,Male,14,No,No,COK0U1RPTU,0
107,19.07379445,2040.896006,Basic,Mailed check,Yes,Both,Yes,Tablet,34.32666492,86.35805325,4,Drama,1.641102565,1,Male,2,No,Yes,QMUTUBWYHY,0
,9.48564879,1109.820908,Basic,Credit card,Yes,TV Shows,Yes,TV,16.42880212,,24,Action,4.528507304,2,Male,0,No,No,UUWJCYN92K,0
101,14.07801504,1421.879519,Premium,Bank transfer,No,Movies,No,Tablet,17.99159333,136.0859902,29,Action,1.013492784,0,Female,21,Yes,Yes,H8NTOYAI31,0
20,15.37317735,307.4635471,Basic,Credit card,Yes,TV Shows,Yes,Mobile,25.33480434,12.91518904,46,Sci-Fi,4.444949939,3,Female,5,Yes,No,GVF95XA1GJ,0
15,9.56015241,143.4022862,Standard,Mailed check,No,Both,Yes,TV,28.42596688,26.04050049,19,Drama,3.702836182,1,Female,21,No,No,F12EFNQLC9,0
69,9.067277542,625.6421504,Basic,Electronic check,Yes,Both,No,Tablet,13.74148407,168.6472424,43,Drama,2.074893576,3,Male,14,No,Yes,HSIV7JLMM8,0
91,11.42552332,1039.722622,Standard,Electronic check,No,Both,No,Mobile,10.53906101,170.9911282,31,Drama,3.99395501,1,Female,14,No,No,8DZX2LVMIP,0
48,6.175351649,296.4168792,Premium,Credit card,Yes,Movies,No,TV,36.04371721,25.23476166,2,Drama,3.25785463,5,Female,6,Yes,No,7TAX3WOP07,0
21,18.1108125,380.3270625,Standard,Mailed check,Yes,Both,No,Mobile,38.36482163,102.4207759,11,Sci-Fi,3.735179709,1,Female,7,No,No,XOBFFGA5PW,0
,6.1449148,110.6084664,Standard,Mailed check,Yes,TV Shows,No,Mobile,33.10996859,5.060481578,37,Sci-Fi,4.722956387,1,Female,17,No,Yes,S1A7NU76FD,0
12,11.32608938,135.9130726,Basic,Electronic check,Yes,Movies,No,Tablet,6.401656011,104.8996498,21,Drama,4.865413767,0,Male,23,Yes,No,9GQDRIADO3,0
94,14.75367433,1386.845387,Premium,Credit card,No,TV Shows,No,Mobile,,149.8363705,49,Fantasy,2.017262824,7,Male,20,No,Yes,UQVNDJ2FCJ,0
62,5.100238081,316.2147611,Premium,Credit card,Yes,Both,No,Mobile,8.220058149,174.5049162,12,Action,4.124334669,8,Female,11,No,Yes,RRLCP900GI,0
76,5.942096161,451.5993082,Standard,Credit card,No,Both,No,Mobile,21.22088107,111.0747979,27,Drama,2.62983057,1,Male,12,Yes,Yes,36YB5JI4Z6,0
,10.86582632,641.0837528,Premium,Credit card,No,TV Shows,No,Mobile,,33.71268475,1,Drama,3.731190475,7,Female,2,Yes,Yes,K461T2VQDQ,0
43,15.26194749,656.2637419,Premium,Credit card,No,Both,Yes,TV,20.36535522,73.86583472,48,Sci-Fi,2.106146173,4,Male,7,Yes,Yes,AZGX9FK1M6,0
111,17.12807766,1901.21662,Basic,Credit card,Yes,Movies,No,TV,12.37206156,141.596722,17,Action,3.908801875,3,Male,1,Yes,Yes,51B86OLQC2,0
113,19.92966274,2252.051889,Standard,Credit card,Yes,Movies,No,Mobile,3.045663804,96.15917624,44,Sci-Fi,4.511654939,2,Male,13,Yes,No,70FNGHQ8EM,0
1,14.37960473,14.37960473,Premium,Bank transfer,Yes,Movies,Yes,Tablet,17.01384339,95.7369546,20,Action,3.004135932,9,Male,12,Yes,No,1351C5E74T,0
88,12.83872356,1129.807673,Standard,Credit card,No,Both,No,Computer,37.81545439,,0,Sci-Fi,1.562123291,6,Female,14,No,Yes,29KR5QTBF9,0
115,11.20686148,1288.78907,Premium,Mailed check,Yes,TV Shows,Yes,Mobile,23.77096166,81.07111453,19,Comedy,3.964957787,8,Male,1,No,No,ZS15E3S3NV,0
39,17.5382321,683.9910521,Basic,Mailed check,Yes,Movies,Yes,Tablet,12.77653232,56.55864259,37,Action,1.071569241,7,Female,10,No,No,4OTB8MIVAN,0
